country,gold,silver,bronze,rank
United States,39,41,33,1
China,38,32,18,2
Japan,27,14,17,3
Great Britain,22,21,22,4
ROC,20,28,23,5
Australia,17,7,22,6
Netherlands,10,12,14,7
France,10,12,11,8
Germany,10,11,16,9
Italy,10,10,20,10
Canada,7,6,11,11
Brazil,7,6,8,12
New Zealand,7,6,7,13
Cuba,7,3,5,14
Hungary,6,7,7,15
South Korea,6,4,10,16
Poland,4,5,5,17
Czech Republic,4,4,3,18
Kenya,4,4,2,19
Norway,4,2,2,20
Jamaica,4,1,4,21
Spain,3,8,6,22
Sweden,3,6,0,23
Switzerland,3,4,6,24
Denmark,3,4,4,25
Croatia,3,3,2,26
Iran,3,2,2,27
Serbia,3,1,5,28
Belgium,3,1,3,29
Bulgaria,3,1,2,30
Slovenia,3,1,1,31
Uzbekistan,3,0,2,32
Georgia,2,5,1,33
Chinese Taipei,2,4,6,34
Turkey,2,2,9,35
Greece,2,1,1,36
Uganda,2,1,1,36
Ecuador,2,1,0,38
Ireland,2,0,2,39
Israel,2,0,2,39
Qatar,2,0,1,41
Bahamas,2,0,0,42
Kosovo,2,0,0,42
Ukraine,1,6,12,44
Belarus,1,3,3,45
Romania,1,3,0,46
Venezuela,1,3,0,46
India,1,2,4,48
Hong Kong,1,2,3,49
Philippines,1,2,1,50
Slovakia,1,2,1,50
South Africa,1,2,0,52
Austria,1,1,5,53
Egypt,1,1,4,54
Indonesia,1,1,3,55
Ethiopia,1,1,2,56
Portugal,1,1,2,56
Tunisia,1,1,0,58
Estonia,1,0,1,59
Fiji,1,0,1,59
Latvia,1,0,1,59
Thailand,1,0,1,59
Bermuda,1,0,0,63
Morocco,1,0,0,63
Puerto Rico,1,0,0,63
Colombia,0,4,1,66
Azerbaijan,0,3,4,67
Dominican Republic,0,3,2,68
Armenia,0,2,2,69
Kyrgyzstan,0,2,1,70
Mongolia,0,1,3,71
Argentina,0,1,2,72
San Marino,0,1,2,72
Jordan,0,1,1,74
Malaysia,0,1,1,74
Nigeria,0,1,1,74
Bahrain,0,1,0,77
Saudi Arabia,0,1,0,77
Lithuania,0,1,0,77
North Macedonia,0,1,0,77
Namibia,0,1,0,77
Turkmenistan,0,1,0,77
Kazakhstan,0,0,8,83
Mexico,0,0,4,84
Finland,0,0,2,85
Botswana,0,0,1,86
Burkina Faso,0,0,1,86
Côte d'Ivoire,0,0,1,86
Ghana,0,0,1,86
Grenada,0,0,1,86
Kuwait,0,0,1,86
Moldova,0,0,1,86
Syria,0,0,1,86
